x,y
0.01983,1.03185
0.15041,0.50248
0.78258,0.76007
0.29827,0.70018
0.75946,2.64132
0.22606,-0.07451
0.97419,1.08618
-0.16299,0.15835
0.32811,1.35339
2.28875,1.60337
0.46069,1.86647
-0.10604,-0.88977
0.86984,0.979
0.73612,-0.42799
-0.87718,-1.28837
-0.77766,0.39053
1.51497,2.48019
-1.08448,-1.44984
-0.21903,-0.73844
-0.05371,-1.10401
-0.84918,0.70705
2.0658,1.86756
-0.25049,-1.27228
1.21306,3.83274
0.89667,2.32336
-0.96441,-2.34067
-1.52112,-2.51625
1.19688,0.84172
-2.61455,-1.78534
-0.44685,-1.58068
-1.73237,-2.47591
0.87007,0.39559
-2.46701,-2.7178
-0.35003,0.2095
0.59449,1.05627
-1.67148,0.23628
0.53418,0.38139
1.27479,1.33148
-1.59507,-2.42026
-0.29231,0.75325
-1.88013,-3.61392
0.1822,1.78637
1.24008,-0.32334
1.0463,0.92848
0.75806,-0.51594
-0.2249,-1.68995
0.14384,2.05977
-0.95038,-0.36696
-0.79715,-0.5509
-0.49032,1.11703
0.18897,-0.32711
-0.98634,-0.04465
-0.61892,-1.82387
-0.92616,-1.20784
-0.61118,0.33696
-0.30167,-1.22714
2.21189,2.20548
-1.22878,-0.81279
-0.88231,-2.27533
-0.6434,-0.73307
0.18443,1.73053
-0.86139,-1.23397
-0.01891,1.08498
0.33067,-0.73314
-1.0287,-0.57858
2.02205,1.63262
-2.02823,-2.19271
1.01212,0.7038
2.4955,1.10006
-0.21676,-2.18391
0.39225,0.83902
0.05941,0.78798
0.28958,-0.07018
-0.72647,-0.64552
1.58571,2.40549
0.989,-0.27451
1.93909,2.95453
-0.99798,-0.65951
1.45639,2.47257
0.12514,3.12232
1.42013,1.63009
-0.06751,-0.59713
-1.0404,-1.32648
0.57002,0.48858
-0.34316,0.23446
1.24,1.17097
0.07528,-0.12021
-0.85115,0.13538
1.76023,0.83391
-0.72289,-1.48524
-0.9534,-2.29131
-0.93791,-0.93626
-1.15277,-0.16058
0.45265,0.82085
-0.46394,0.05601
-0.26182,-0.95459
1.25246,1.09467
0.33604,1.7101
-1.38948,-3.02396
-1.25331,-1.32853
-0.67166,-0.81058
-0.61579,-0.18908
2.33571,3.19814
-0.14612,0.43785
-0.26993,-0.53945
0.92061,1.70331
-1.83277,-3.08235
-0.17817,-1.46936
0.0732,-0.41001
0.68433,-0.21189
1.57548,0.86372
-1.71243,-2.04336
1.96265,0.05977
-0.55958,-0.75361
1.03518,1.89237
-2.02971,-1.02075
1.26551,2.11442
-0.15131,0.71001
1.32861,1.36086
-0.09424,1.53688
-0.05104,-0.62579
-0.0015,1.88066
0.53918,2.69173
0.07115,0.511
0.75262,-0.50548
-0.1137,-1.66871
-0.63553,0.45208
0.48688,-0.90444
0.60466,0.89499
-0.51179,-0.00201
-1.09996,-1.68253
-1.56497,-3.05677
-0.24809,-1.19834
0.01205,-0.77367
-0.27022,0.71217
-1.59628,-1.46606
-1.23776,-1.47054
1.03774,1.80582
-1.04548,-1.91423
2.03925,1.08453
-0.13127,-1.57384
0.5639,-0.66623
0.03484,1.26219
1.21482,-0.46314
-0.06384,-0.21697
-1.46694,-1.33172
0.61992,-0.25081
0.18867,0.10346
-0.52678,-0.63361
-0.14912,1.45829
-1.1173,-1.98638
0.07409,-0.51047
-0.67433,0.6505
-1.80768,-1.76316
1.23733,0.61578
-0.14377,0.87253
-0.82218,-2.8624
2.12093,3.34817
-0.44718,0.59717
0.97233,-0.8042
0.38974,0.24852
-0.73997,-0.08753
2.05991,2.65707
1.45096,1.37753
-0.57646,0.34255
0.69175,0.60732
0.58108,0.70941
-0.39144,0.2432
1.91912,2.11974
1.40449,2.65331
-1.45254,-1.75082
0.68081,-0.35133
-1.88841,-2.14841
0.20159,2.90401
1.7211,0.53288
-0.13286,-0.92938
-0.22311,-1.07394
-0.89675,-0.95584
1.31488,0.43952
1.72027,1.43874
0.86502,-1.18909
2.58883,1.52001
-0.20639,0.81068
-1.62763,-2.01377
-0.28315,0.19092
-0.47584,0.78324
-0.9456,-1.02489
0.15521,1.13319
0.42574,0.30413
0.12447,0.48467
0.28942,2.67085
1.05919,2.38871
-0.39954,0.5275
2.03389,3.42627
0.83898,-0.20613
-1.02939,-0.78709
0.43047,0.46765
0.14357,-1.60777
1.61926,0.78227
-0.55381,0.08405
